日付,タイトル,本文,画像,リンク
2026.5,運動会撮影,先日は、運動会撮影に行ってきました。\n猛暑の中での撮影でかなり日焼けしましたが楽しく撮影させていただきました！,news-20260623030830.jpg,
2026.1,Mavic4Proの導入,この度メイン機としてMavic4Proを導入しました。\n今までのメイン機と併用して今後活躍してくれそうです。,news-20260623022919.jpeg,
2025.10,MINI5Proの導入,MINI5Proをロケハン用に導入しました。\nMavicシリーズのロケハンやマビックでは狭い現場などで使用していきます。,news-20260623020049.jpeg,
2025.8,学校撮影,先日は、学校での空撮を行いました。\n建て替え前の記録としての撮影でした、大切な思い出の記録にご協力で来て嬉しいです。,news-20260623014342.jpg,
2025.7,自主制作映画,今回は車両部として自主制作映画「リハーサル」に参加させていただきました。\n\n照明部のお手伝いもさせていただきとても面白い経験になりました！！,news-20260623013339.jpeg,
2026.1,FPVのハンドキャッチテストをしました,先日、FPVドローンのハンドキャッチをテストしてきました！\n初の試みに緊張しながらの操縦になりましたが、回数を重ねていく中で飛ばしやすいタイミングやスロットルの上限など大変勉強になりました。\n実際に撮影で使用するかはまだ未定ですが、今後のオペレートに生かしていきたいと思います。,news-20260623010059.jpg,
2026.2,雪山での撮影,先日長野の雪山で映画撮影に参加してきました、山でしたが天候に恵まれ良い光での撮影ができました。\n\n極寒で手が震えながらのオペレートが思い出に残っています。,news-20260623005232.jpg,
2025.9,キャンプ場でのFPV撮影,先日軽井沢でキャンプ場をお借りしたFPV撮影を行いました。\nGoProをそのまま載せるタイプと剥きProのに機で撮影しました、広大な自然で飛ばすのは気持ちがよく楽しく撮影できました。,news-20260622154643.jpg,
2025.6,FPV Droneによる空撮,FPV Droneの飛行テストを行いました。\n\n事前の申請や場所の許可取りなど準備が多く必要なドローンですが、撮影したデータを見るのは楽しいです。,news-20260622153842.jpeg,
2025.12,年末のご挨拶,2025年も大変お世話になりました🎍\n\nYORIMITIとして2年が経ち、今年は自分にとって激動の一年でした。\n\n映像を始めた当初は企画から編集まで全て自分で完結させようと考えていたなぁと思い出しました🤔💭\n今は、現場で多くの方と関わる中で、自分が本当に作りたいもの・向き合うべきことが大きく変わってきたと感じています。\n\nまた昨年より空撮に注力し、今年は業務として安心してご依頼いただけるよう、運用面の土台を固めてまいりました。\n2026年は現場での経験をさらに積み重ね、より価値のある形でお応えできるよう精進いたします！\n\n本年のご縁とご支援に心より感謝申し上げます。\n皆様どうぞ良いお年をお迎えください。\n\nYORIMITI\n代表　上原幸大,news-20260622042245.jpg,
2025.6,この度弊社で軽バン（DA17V）を所有致しました,長距離の出張や荷物の運搬も今までよりしやすくなります！\n納車数日に天井に防音、断熱剤を入れました。\n床はフルフラットを作成し車中泊も想定、積載能力も大容量となっております。\n台車、コンテナ、等も完備しております。\n\nこれから色々な所に出かけられると嬉しいです！,news-20260622033513.jpeg,
2024.10,Teary Planet様上映会,本日は以前配信させていただいたTeary Planet様の上映会で登壇させていただきました✨️\n七夕の夜の楽しい思い出を改めてリアルで共有出来たこと、とても幸せに思います。\n\n当日にお力添えいただいた皆様本当にありがとうございました。,news-20260622032635.jpeg,https://youtu.be/uPFhfRl0hig?si=GkWsqnsKDf6za25U
2024.12,年末のご挨拶,本年も大変お世話になり、\n誠にありがとうございました。\n至らない点の多い私ではありますが、皆様の温かいご支援のおかげで、一歩ずつ前に進むことができました。\n\nYORIMITIを立ち上げてから早くも1年が経ち、さまざまな企画に参加させていただきました。\nこの1年は拠点の移動や環境の変化が多く、基盤を築くための重要な年であったと実感しております。\n\n2025年は、これまでの事業内容を引き続き進めるとともに、新たに空撮についての学びを深めていきたいと考えております。\nこれからも新しい挑戦を続けていく所存ですので、引き続きご指導、ご支援のほどよろしくお願い申し上げます。\n\n来る年が皆様にとって素晴らしい一年となりますよう、心よりお祈り申し上げます。\nどうぞ良いお年をお迎えください。\n\n代表 上原幸大,news-20260622025557.jpg,
